feature,importance_mean,importance_std
amount,-3.735224340939425e-09,2.0739218977080533e-09
borrower_age,-5.324681529028652e-09,7.986923370246225e-10
collection_case_id,-6.91413872822011e-09,1.2839233499562087e-09
credit_score,-7.947285940446136e-09,0.0
days_funded_to_open,-7.947285940446136e-09,0.0
days_lastpay_to_close,-7.947285940446136e-09,0.0
has_demand_letter_sent_date,-7.947285940446136e-09,0.0
payment_status,-7.947285940446136e-09,0.0
case_type,-1.3430913259337985e-08,3.066663954782508e-09
